Weight,Height,Neck,Chest,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist,Age,Abdomen
154.25,67.75,36.2,93.1,94.5,59,37.3,21.9,32,27.4,17.1,23,85.2
173.25,72.25,38.5,93.6,98.7,58.7,37.3,23.4,30.5,28.9,18.2,22,83
154,66.25,34,95.8,99.2,59.6,38.9,24,28.8,25.2,16.6,22,87.9
184.75,72.25,37.4,101.8,101.2,60.1,37.3,22.8,32.4,29.4,18.2,26,86.4
184.25,71.25,34.4,97.3,101.9,63.2,42.2,24,32.2,27.7,17.7,24,100
210.25,74.75,39,104.5,107.8,66,42,25.6,35.7,30.6,18.8,24,94.4
181,69.75,36.4,105.1,100.3,58.4,38.3,22.9,31.9,27.8,17.7,26,90.7
176,72.5,37.8,99.6,97.1,60,39.4,23.2,30.5,29,18.8,25,88.5
191,74,38.1,100.9,99.9,62.9,38.3,23.8,35.9,31.1,18.2,25,82.5
198.25,73.5,42.1,99.6,104.1,63.1,41.7,25,35.6,30,19.2,23,88.6
186.25,74.5,38.5,101.5,98.2,59.7,39.7,25.2,32.8,29.4,18.5,26,83.6
216,76,39.4,103.6,107.7,66.2,39.2,25.9,37.2,30.2,19,27,90.9
180.5,69.5,38.4,102,103.9,63.4,38.3,21.5,32.5,28.6,17.7,32,91.6
205.25,71.25,39.4,104.1,108.6,66,41.5,23.7,36.9,31.6,18.8,30,101.8
187.75,69.5,40.5,101.3,100.1,69,39,23.1,36.1,30.5,18.2,35,96.4
162.75,66,36.4,99.1,99.2,63.1,38.7,21.7,31.1,26.4,16.9,35,92.8
195.75,71,38.9,101.9,105.2,64.8,40.8,23.1,36.2,30.8,17.3,34,96.4
209.25,71,42.1,107.6,107,66.9,40,24.4,38.2,31.6,19.3,32,97.5
183.75,67.75,38,106.8,102.4,64.2,38.7,22.9,37.2,30.5,18.5,28,89.6
211.75,73.5,40,106.2,109,65.8,40.6,24,37.1,30.1,18.2,33,100.5
179,68,39.1,103.3,104.9,63.5,38,22.1,32.5,30.3,18.4,28,95.9
200.5,69.75,41.3,111.4,104.8,63.4,40.6,24.6,33,32.8,19.9,28,98.8
140.25,68.25,33.9,86,94.6,57.4,35.3,22.2,27.9,25.9,16.7,31,76.4
148.75,70,35.5,86.7,93.4,54.9,36.2,22.1,29.8,26.7,17.1,32,80
151.25,67.75,34.5,90.2,95.8,58.4,35.5,22.9,31.1,28,17.6,28,76.3
159.25,71.5,35.7,89.6,96.5,55,36.7,22.5,29.9,28.2,17.7,27,79.7
